geoid,state_code,county_name,dma,boston_celtics,atlanta_hawks,brooklyn_nets,charlotte_hornets,chicago_bulls,cleveland_cavaliers,dallas_mavericks,denver_nuggets,detroit_pistons,golden_state_warriors,houston_rockets,indiana_pacers,la_clippers,los_angeles_lakers,memphis_grizzlies,miami_heat,milwaukee_bucks,minnesota_timberwolves,new_orleans_pelicans,new_york_knicks,oklahoma_city_thunder,orlando_magic,philadelphia_76ers,phoenix_suns,portland_trail_blazers,sacramento_kings,san_antonio_spurs,toronto_raptors,utah_jazz,washington_wizards
13101,GA ,Echols                      ,Tallahassee FL-Thomasville GA,0.0715379341799056,0.0900848060043256,0.0211964249421942,0.0105982124710971,0.0250382769629669,0.019672931899474,0.0321920703809575,0.0304036220264598,0.0156489231018543,0.1050713408267364,0.0201200439880984,0.0111778022156102,0.0107306901269858,0.0357689670899528,0.0214613802539716,0.2181906992487121,0.0275145900691944,0.0123815655311375,0.0068786475172986,0.0192602130484361,0.005647731645782,0.0753030886104269,0.0094128860763033,0.0263560810136494,0.0095383912239874,0.0131152879329827,0.0143075868359811,0.0107306901269858,0.0214613802539716,0.0091977343945592
18167,IN ,Vigo                        ,Terre Haute IN,0.0586417818654314,0.0158491302339003,0.0142642172105103,0.0110943911637302,0.076017124640374,0.0238910963155461,0.0304068498561496,0.0282349320092818,0.0146604454663578,0.0684154121763366,0.0097736303109052,0.3371902457262308,0.0071080947715674,0.0213242843147023,0.0213242843147023,0.0693039240227826,0.0347063606958675,0.0095741684678255,0.0059838552923909,0.0107709395263037,0.0101985707592054,0.0242216055531129,0.0076489280694041,0.0267712482429143,0.0086520661768669,0.0115360882358225,0.0115360882358225,0.0057680441179112,0.0159170550777599,0.009215137150282
23031,ME ,York                        ,Portland-Auburn ME,0.6016833069100881,0.0122792511614303,0.0122792511614303,0.0,0.0139926350444206,0.0139926350444206,0.0489742226554722,0.0209889525666309,0.0066119044715394,0.0396714268292365,0.0066119044715394,0.0066119044715394,0.0068373103057964,0.0136746206115929,0.0068373103057964,0.0546984824463716,0.0194091389325834,0.0064697129775278,0.0,0.0194091389325834,0.0,0.0194091389325834,0.0064697129775278,0.0194091389325834,0.00626753444698,0.00626753444698,0.00626753444698,0.00626753444698,0.0124058413795894,0.0062029206897947
27031,MN ,Cook                        ,Duluth MN-Superior WI,0.0343467060704042,0.0063270248024428,0.0090386068606326,0.0063270248024428,0.0306667018485751,0.007360008443658,0.0196266891830881,0.0306667018485751,0.0124897112983288,0.0405915617195686,0.0083264741988858,0.0083264741988858,0.006164793397252,0.009687532481396,0.012329586794504,0.0255398583600441,0.219818918850587,0.4258991552730123,0.0,0.0068693412140808,0.0083958614838765,0.0106856418885702,0.0045795608093872,0.0183182432375489,0.0062968961129074,0.0062968961129074,0.005724451011734,0.0045795608093872,0.0103040118211212,0.0044160050661948
38013,ND ,Burke                       ,Minot-Bismarck-Dickinson(Williston) ND,0.0810412779758195,0.0141822236457684,0.0141822236457684,0.0121561916963729,0.0392927408367609,0.0122789815114878,0.0417485371390585,0.0712180927666292,0.0158129322879647,0.0810412779758195,0.0118596992159735,0.0079064661439823,0.0079064661439823,0.0256960149679427,0.0158129322879647,0.0672049622238503,0.0424501932254292,0.2469829424024975,0.003859108475039,0.011577325425117,0.008621412550619,0.0206913901214858,0.0068971300404952,0.0551770403239622,0.0182996434138947,0.0130711738670676,0.0117640564803608,0.0065355869335338,0.0277855810202809,0.0069463952550702
38077,ND ,Richland                    ,Fargo-Valley City ND,0.0454797302846156,0.0098334551966736,0.0147501827950104,0.0073750913975052,0.0297970646692309,0.0109778659307692,0.0266605315461539,0.0439114637230771,0.0096472155149184,0.0592614667344991,0.0124035628048951,0.0110253891599068,0.0073750913975052,0.0159793646945946,0.0147501827950104,0.0393338207866946,0.0284248314278847,0.4832221342740411,0.0056849662855769,0.0056849662855769,0.0095190133153846,0.0126920177538462,0.0063460088769231,0.0317300443846155,0.0073092423671703,0.0105577945303572,0.0113699325711539,0.0064971043263736,0.0169700486136625,0.005430415556372
8089,CO ,Otero                       ,Colorado Springs-Pueblo CO,0.0360951834047559,0.0063166570958322,0.0072190366809511,0.0054142775107133,0.0216571100428535,0.0072190366809511,0.0288761467238047,0.628056191242754,0.0092816185897943,0.0412516381768639,0.0092816185897943,0.0072190366809511,0.0048777274871291,0.01170654596911,0.0097554549742583,0.0351196379073301,0.0162060007123394,0.0103129095442159,0.0036831819800771,0.0073663639601542,0.0056148063074064,0.0088232670544959,0.0080211518677235,0.0216571100428535,0.0052502084952372,0.0098441409285698,0.0105004169904744,0.0039376563714279,0.015548694389741,0.0038871735974352
2240,AK ,Southeast Fairbanks,Anchorage AK,0.1084980489947263,0.0132314693896007,0.0211703510233612,0.0132314693896007,0.0399729654191097,0.0142760590782534,0.0456833890504111,0.0770907190225687,0.017594278215361,0.1231599475075272,0.0263914173230415,0.017594278215361,0.0151392626504269,0.0403713670678051,0.0151392626504269,0.0731731028103968,0.0361660163315754,0.0228416945252055,0.0057104236313013,0.0171312708939041,0.0108498048994726,0.0216996097989452,0.0130197658793671,0.0629288684169413,0.0336718083087081,0.0243185282229559,0.0149652481372036,0.0056119680514513,0.0604743223905032,0.0088932827044857
5079,AR ,Lincoln                     ,Little Rock-Pine Bluff AR,0.0768695976463712,0.0186980102383065,0.0207755669314516,0.0145428968520161,0.0333101589800942,0.0153739195292742,0.0896811972540997,0.0409971187447313,0.0179362394508199,0.1306783159988311,0.0204985593723656,0.0102492796861828,0.0100264692582223,0.0501323462911116,0.1303441003568903,0.0668431283881488,0.0408880838544527,0.0179907568959592,0.0114486634792467,0.0163552335417811,0.0179907568959592,0.0196262802501373,0.0114486634792467,0.0376170371460965,0.0115304396469556,0.0166550794900471,0.0153739195292742,0.0076869597646371,0.017901139177922,0.0105300818693659
13315,GA ,Wilcox                      ,Macon GA,0.0708383916691813,0.2744987677180779,0.0221369973966191,0.0088547989586476,0.026564396875943,0.0159386381255658,0.0318772762511316,0.0318772762511316,0.0159957658607828,0.11882568925153,0.0137106564520996,0.009140437634733,0.0094451188892241,0.0425030350015088,0.0236127972230604,0.0897286294476297,0.0249246192910082,0.0144300427474258,0.006559110339739,0.0144300427474258,0.0055559522877789,0.0236127972230604,0.0111119045755578,0.0277797614388946,0.0099616488284786,0.0110684986983095,0.0110684986983095,0.0077479490888167,0.0164966117585764,0.0097038892697508
17147,IL ,Piatt                       ,Champaign & Springfield-Decatur IL,0.0561714897473445,0.0247815395944167,0.0165210263962778,0.0115647184773944,0.2938201002168791,0.0129626514801564,0.0345670706137504,0.0345670706137504,0.0145629788233856,0.0915387240327096,0.0145629788233856,0.0312063831929691,0.0116216875339333,0.0232433750678667,0.0329281146794778,0.0697301252036001,0.037447659831563,0.0200612463383373,0.0080244985353349,0.0120367478030024,0.0063831238349255,0.0217026210387467,0.0140428724368361,0.0293623696406573,0.00871626565045,0.0145271094174166,0.00871626565045,0.00871626565045,0.0267044787323441,0.0092084409421876
18041,IN ,Fayette                     ,Indianapolis IN,0.0554826585102502,0.0190226257749429,0.0158521881457857,0.0126817505166286,0.0497430731471209,0.0229583414525173,0.034437512178776,0.0286979268156466,0.0252193902319319,0.0706142926494094,0.0100877560927727,0.3429837071542744,0.0069353323137812,0.0173383307844532,0.0277413292551251,0.0658856569809221,0.0349781977564621,0.0108553027520054,0.0048245790008913,0.0144737370026739,0.0108553027520054,0.0192983160035653,0.0072368685013369,0.0277413292551251,0.0072764142308524,0.0118241731251353,0.008185966009709,0.008185966009709,0.0201755121855455,0.0084064634106439
19135,IA ,Monroe                      ,Des Moines-Ames IA,0.0889839994232659,0.0205347690976767,0.0182531280868237,0.0114082050542648,0.0889839994232659,0.0139037499098853,0.0333689997837247,0.0528342496575641,0.0222459998558164,0.0889839994232659,0.0148306665705443,0.032133110902846,0.0086813657973917,0.0325551217402192,0.0195330730441315,0.0672805849297864,0.0889839994232659,0.0806417494773347,0.0083422499459311,0.0111229999279082,0.0088983999423265,0.0213561598615838,0.0124577599192572,0.0462716797000982,0.0113252362902338,0.038829381566516,0.0129431271888386,0.009707345391629,0.0259536664984525,0.0086512221661508
28057,MS ,Itawamba                    ,Columbus-Tupelo-West Point MS,0.100345096585173,0.031687925237423,0.0211252834916153,0.0132033021822596,0.0465013862223972,0.0171320896608831,0.0416065034621449,0.0391590620820187,0.0143350137978818,0.1376161324596658,0.0229360220766109,0.0114680110383054,0.0077188535834748,0.0540319750843239,0.1620959252529717,0.0617508286677987,0.0259513180823723,0.0155707908494233,0.0155707908494233,0.0155707908494233,0.0083620913820977,0.0200690193170346,0.0066896731056782,0.0317759472519714,0.0104838160611374,0.0134791920786053,0.0179722561048071,0.0074884400436696,0.0205836095559329,0.0077188535834748
19195,IA ,Worth                       ,Rochester MN-Mason City IA-Austin MN,0.0441719776809052,0.0119383723461906,0.0107445351115715,0.0083568606423334,0.0335097761717212,0.0091390298650148,0.0274170895950446,0.0380792911042286,0.0128241225525208,0.0598459052450974,0.0113992200466852,0.0142490250583565,0.0075723390310123,0.0151446780620246,0.0164067345671933,0.0429099211757365,0.0662579665213578,0.4251552851787129,0.0055214972101131,0.0110429944202263,0.0123270635388572,0.013354318833762,0.0051362764745238,0.0277358929624288,0.0090146893226337,0.0216352543743209,0.009916158254897,0.0054088135935802,0.0169892221849635,0.0067956888739854
36109,NY ,Tompkins                    ,Syracuse NY,0.1490891389862385,0.0191139921777228,0.0496963796620795,0.0152911937421783,0.0372722847465596,0.0229367906132674,0.0372722847465596,0.040139383573218,0.0243410839161205,0.0912790646854521,0.0243410839161205,0.0152131774475753,0.0121705419580602,0.0273837194056356,0.0212984484266055,0.0943217001749672,0.0337560314685823,0.0140650131119092,0.0056260052447637,0.078764073426692,0.0096186541281444,0.0312606259164693,0.0168326447242527,0.0336652894485054,0.0165654598873598,0.0165654598873598,0.0103534124295998,0.0144947774014398,0.0260905993225917,0.0111816854239678
38103,ND ,Wells                       ,Minot-Bismarck-Dickinson(Williston) ND,0.0810412779758195,0.0141822236457684,0.0141822236457684,0.0121561916963729,0.0392927408367609,0.0122789815114878,0.0417485371390585,0.0712180927666292,0.0158129322879647,0.0810412779758195,0.0118596992159735,0.0079064661439823,0.0079064661439823,0.0256960149679427,0.0158129322879647,0.0672049622238503,0.0424501932254292,0.2469829424024975,0.003859108475039,0.011577325425117,0.008621412550619,0.0206913901214858,0.0068971300404952,0.0551770403239622,0.0182996434138947,0.0130711738670676,0.0117640564803608,0.0065355869335338,0.0277855810202809,0.0069463952550702
47177,TN ,Warren                      ,Nashville TN,0.0893585350146101,0.0382965150062614,0.0204248080033394,0.017871707002922,0.0423277271121837,0.0211638635560918,0.0470308079024263,0.0352731059268197,0.0248218152818361,0.0968050795991609,0.0198574522254689,0.0173752706972852,0.0077703073925747,0.0310812295702991,0.1748319163329328,0.0854733813183226,0.0319137625052178,0.0127655050020871,0.0095741287515653,0.0159568812526089,0.0067440403784611,0.0269761615138445,0.0101160605676917,0.0354062119869209,0.0108313375775284,0.0148930891691016,0.0121852547747195,0.0081235031831463,0.0260629060459279,0.0086876353486426
48067,TX ,Cass                        ,Shreveport LA,0.0801178504901253,0.0164344308697692,0.0205430385872116,0.0102715192936058,0.029133763814591,0.0145668819072955,0.2039363467021371,0.0364172047682387,0.0133529750816875,0.1281885607842005,0.0347177352123876,0.01068238006535,0.0111274792347396,0.0511864044798022,0.026705950163375,0.0534119003267501,0.0327754842914149,0.0127460216688835,0.0418797854834745,0.0145668819072955,0.0125675059592353,0.0204221971837574,0.0094256294694265,0.0345606413878971,0.0116300105550181,0.0142144573450222,0.0155066807400242,0.0077533403700121,0.0211422105460052,0.0100147313112656
51690,VA ,Martinsville City           ,Roanoke-Lynchburg VA,0.1327346915839062,0.022754518557241,0.022754518557241,0.0682635556717232,0.0379241975954017,0.0270887125681441,0.0406330688522161,0.0325064550817729,0.0150834876799893,0.1236845989759126,0.0181001852159872,0.0120667901439914,0.0120667901439914,0.0362003704319744,0.0241335802879829,0.0965343211519318,0.0299723497124949,0.0149861748562474,0.0085635284892842,0.0278314675901738,0.0065279356516675,0.0282877211572259,0.0152318498538908,0.0348156568088934,0.0165918364479882,0.0147482990648784,0.0110612242986588,0.009217686915549,0.0250079853708808,0.0346264412827581
51720,VA ,Norton City                 ,Knoxville TN,0.1214770733371468,0.0426811338752137,0.016415820721236,0.0295484772982249,0.0404923577790489,0.0296943957046358,0.0404923577790489,0.0377928672604456,0.0260308014293886,0.1041232057175544,0.0202461788895244,0.0173538676195924,0.0071457101963027,0.0357285509815137,0.0928942325519358,0.1000399427482385,0.0338542663398605,0.0179228468858085,0.007965709727026,0.0179228468858085,0.0080984715558097,0.0303692683342867,0.0121477073337146,0.0303692683342867,0.0099844169866148,0.0149766254799222,0.0116484864843839,0.0083203474888456,0.0249183740178762,0.0093443902567036
48239,TX ,Jackson                     ,Houston TX,0.0398528672486149,0.0132842890828716,0.0181149396584613,0.0096613011511793,0.0223176056592243,0.0111588028296121,0.0573881288380055,0.0286940644190027,0.0113865334996042,0.0740124677474277,0.4383815397347645,0.0056932667498021,0.0092990023580101,0.0212548625325946,0.0159411468994459,0.0464950117900507,0.019463028191184,0.0101949195287154,0.0120485412612091,0.0111217303949623,0.0066421445414358,0.0142331668745053,0.0075910223330695,0.0265685781657433,0.0069309334345417,0.0103964001518125,0.0233919003415783,0.006064566755224,0.0155675262689902,0.0068497115583556
20077,KS ,Harper                      ,Wichita Falls TX & Lawton OK,0.056499085952541,0.0152700232304164,0.0152700232304164,0.0091620139382498,0.0282495429762705,0.0094165143254235,0.3342862585525344,0.0423743144644057,0.0194215607961859,0.0688582610046593,0.0211871572322028,0.0105935786161014,0.0099704269328013,0.0348964942648047,0.0166173782213355,0.0481903968418732,0.0276730216910404,0.0126834682750602,0.0092243405636801,0.0092243405636801,0.0653270681326255,0.0123591750521183,0.0070623857440676,0.0353119287203381,0.011078252147557,0.0144017277918241,0.0232643295098698,0.0055391260737785,0.0182791160434691,0.0083086891106677
1027,AL ,Clay                        ,Birmingham AL,0.0966695901561957,0.1000030242995128,0.0233340390032196,0.0166671707165854,0.0396593190384392,0.0198296595192196,0.0520528562379515,0.0396593190384392,0.0165719297410621,0.12981344963832,0.0220959063214161,0.011047953160708,0.0117175260795388,0.041011341278386,0.0644463934374638,0.0790933010368874,0.0281220625908933,0.0158186602073774,0.0175762891193083,0.0175762891193083,0.0070305156477233,0.0246068047670316,0.0123034023835158,0.0351525782386166,0.0115426376305905,0.0144282970382381,0.0115426376305905,0.0100998079267667,0.0203514926644622,0.0101757463322311
20147,KS ,Phillips                    ,Lincoln & Hastings-Kearney NE,0.0806677114884186,0.0144788200107418,0.0165472228694192,0.0144788200107418,0.04910208525382,0.0140291672153771,0.0561166688615086,0.1508135475653043,0.0151251959040784,0.123522433216641,0.0201669278721046,0.0126043299200654,0.0109010420930295,0.0348833346976945,0.021802084186059,0.069766669395389,0.0450238389702801,0.0412718523894234,0.0075039731617133,0.0131319530329983,0.013730674295901,0.0188796771568639,0.0102980057219257,0.0480573600356536,0.0141522300856874,0.0183978991113937,0.0183978991113937,0.0099065610599812,0.0268892371628062,0.0093527781435847
37165,NC ,Scotland                    ,Florence-Myrtle Beach SC,0.1181977668382218,0.0275794789289184,0.0236395533676443,0.1063779901543996,0.0295494417095554,0.0246245347579628,0.0393992556127406,0.034474348661148,0.0201801065333549,0.1239635115620375,0.0144143618095392,0.0115314894476314,0.0118197766838221,0.0413692183933776,0.0236395533676443,0.1004681018124885,0.0305683879754022,0.0163031402535478,0.0081515701267739,0.0305683879754022,0.0080134079212353,0.0240402237637061,0.0180301678227796,0.0320536316849415,0.0129531799274763,0.0113340324365418,0.0113340324365418,0.0080957374546727,0.0171075715160584,0.0202180390644326
48295,TX ,Lipscomb                    ,Amarillo TX,0.0644782257189065,0.0209118569899156,0.013941237993277,0.0104559284949578,0.0322391128594532,0.0120896673222949,0.2297036791236046,0.0644782257189065,0.0155637096562877,0.1022758063127483,0.0311274193125755,0.0088935483750215,0.0092111751027009,0.0386869354313439,0.0165801151848616,0.0552670506162056,0.028519215221824,0.0123996587920974,0.0061998293960487,0.0123996587920974,0.0322391128594532,0.0128956451437813,0.0080597782148633,0.0435228023602619,0.0094358379100838,0.0125811172134451,0.0660508653705872,0.0047179189550419,0.0188061491680144,0.0062687163893381
